timestamp;year;month;day
19120101;1912;1;1
19120102;1912;1;2
19120103;1912;1;3
19120104;1912;1;4
19120105;1912;1;5
19120106;1912;1;6
19120107;1912;1;7
19120108;1912;1;8
19120109;1912;1;9
19120110;1912;1;10
19120111;1912;1;11
19120112;1912;1;12
19120113;1912;1;13
19120114;1912;1;14
19120115;1912;1;15
19120116;1912;1;16
19120117;1912;1;17
19120118;1912;1;18
19120119;1912;1;19
19120120;1912;1;20
19120121;1912;1;21
19120122;1912;1;22
19120123;1912;1;23
19120124;1912;1;24
19120125;1912;1;25
19120126;1912;1;26
19120127;1912;1;27
19120128;1912;1;28
19120129;1912;1;29
19120130;1912;1;30
19120131;1912;1;31
19120201;1912;2;1
19120202;1912;2;2
19120203;1912;2;3
19120204;1912;2;4
19120205;1912;2;5
19120206;1912;2;6
19120207;1912;2;7
19120208;1912;2;8
19120209;1912;2;9
19120210;1912;2;10
19120211;1912;2;11
19120212;1912;2;12
19120213;1912;2;13
19120214;1912;2;14
19120215;1912;2;15
19120216;1912;2;16
19120217;1912;2;17
19120218;1912;2;18
19120219;1912;2;19
19120220;1912;2;20
19120221;1912;2;21
19120222;1912;2;22
19120223;1912;2;23
19120224;1912;2;24
19120225;1912;2;25
19120226;1912;2;26
19120227;1912;2;27
19120228;1912;2;28
19120229;1912;2;29
19120301;1912;3;1
19120302;1912;3;2
19120303;1912;3;3
19120304;1912;3;4
19120305;1912;3;5
19120306;1912;3;6
19120307;1912;3;7
19120308;1912;3;8
19120309;1912;3;9
19120310;1912;3;10
19120311;1912;3;11
19120312;1912;3;12
19120313;1912;3;13
19120314;1912;3;14
19120315;1912;3;15
19120316;1912;3;16
19120317;1912;3;17
19120318;1912;3;18
19120319;1912;3;19
19120320;1912;3;20
19120321;1912;3;21
19120322;1912;3;22
19120323;1912;3;23
19120324;1912;3;24
19120325;1912;3;25
19120326;1912;3;26
19120327;1912;3;27
19120328;1912;3;28
19120329;1912;3;29
19120330;1912;3;30
19120331;1912;3;31
19120401;1912;4;1
19120402;1912;4;2
19120403;1912;4;3
19120404;1912;4;4
19120405;1912;4;5
19120406;1912;4;6
19120407;1912;4;7
19120408;1912;4;8
19120409;1912;4;9
19120410;1912;4;10
19120411;1912;4;11
19120412;1912;4;12
19120413;1912;4;13
19120414;1912;4;14
19120415;1912;4;15
19120416;1912;4;16
19120417;1912;4;17
19120418;1912;4;18
19120419;1912;4;19
19120420;1912;4;20
19120421;1912;4;21
19120422;1912;4;22
19120423;1912;4;23
19120424;1912;4;24
19120425;1912;4;25
19120426;1912;4;26
19120427;1912;4;27
19120428;1912;4;28
19120429;1912;4;29
19120430;1912;4;30
19120501;1912;5;1
19120502;1912;5;2
19120503;1912;5;3
19120504;1912;5;4
19120505;1912;5;5
19120506;1912;5;6
19120507;1912;5;7
19120508;1912;5;8
19120509;1912;5;9
19120510;1912;5;10
19120511;1912;5;11
19120512;1912;5;12
19120513;1912;5;13
19120514;1912;5;14
19120515;1912;5;15
19120516;1912;5;16
19120517;1912;5;17
19120518;1912;5;18
19120519;1912;5;19
19120520;1912;5;20
19120521;1912;5;21
19120522;1912;5;22
19120523;1912;5;23
19120524;1912;5;24
19120525;1912;5;25
19120526;1912;5;26
19120527;1912;5;27
19120528;1912;5;28
19120529;1912;5;29
19120530;1912;5;30
19120531;1912;5;31
19120601;1912;6;1
19120602;1912;6;2
19120603;1912;6;3
19120604;1912;6;4
19120605;1912;6;5
19120606;1912;6;6
19120607;1912;6;7
19120608;1912;6;8
19120609;1912;6;9
19120610;1912;6;10
19120611;1912;6;11
19120612;1912;6;12
19120613;1912;6;13
19120614;1912;6;14
19120615;1912;6;15
19120616;1912;6;16
19120617;1912;6;17
19120618;1912;6;18
19120619;1912;6;19
19120620;1912;6;20
19120621;1912;6;21
19120622;1912;6;22
19120623;1912;6;23
19120624;1912;6;24
19120625;1912;6;25
19120626;1912;6;26
19120627;1912;6;27
19120628;1912;6;28
19120629;1912;6;29
19120630;1912;6;30
19120701;1912;7;1
19120702;1912;7;2
19120703;1912;7;3
19120704;1912;7;4
19120705;1912;7;5
19120706;1912;7;6
19120707;1912;7;7
19120708;1912;7;8
19120709;1912;7;9
19120710;1912;7;10
19120711;1912;7;11
19120712;1912;7;12
19120713;1912;7;13
19120714;1912;7;14
19120715;1912;7;15
19120716;1912;7;16
19120717;1912;7;17
19120718;1912;7;18
19120719;1912;7;19
19120720;1912;7;20
19120721;1912;7;21
19120722;1912;7;22
19120723;1912;7;23
19120724;1912;7;24
19120725;1912;7;25
19120726;1912;7;26
19120727;1912;7;27
19120728;1912;7;28
19120729;1912;7;29
19120730;1912;7;30
19120731;1912;7;31
19120801;1912;8;1
19120802;1912;8;2
19120803;1912;8;3
19120804;1912;8;4
19120805;1912;8;5
19120806;1912;8;6
19120807;1912;8;7
19120808;1912;8;8
19120809;1912;8;9
19120810;1912;8;10
19120811;1912;8;11
19120812;1912;8;12
19120813;1912;8;13
19120814;1912;8;14
19120815;1912;8;15
19120816;1912;8;16
19120817;1912;8;17
19120818;1912;8;18
19120819;1912;8;19
19120820;1912;8;20
19120821;1912;8;21
19120822;1912;8;22
19120823;1912;8;23
19120824;1912;8;24
19120825;1912;8;25
19120826;1912;8;26
19120827;1912;8;27
19120828;1912;8;28
19120829;1912;8;29
19120830;1912;8;30
19120831;1912;8;31
19120901;1912;9;1
19120902;1912;9;2
19120903;1912;9;3
19120904;1912;9;4
19120905;1912;9;5
19120906;1912;9;6
19120907;1912;9;7
19120908;1912;9;8
19120909;1912;9;9
19120910;1912;9;10
19120911;1912;9;11
19120912;1912;9;12
19120913;1912;9;13
19120914;1912;9;14
19120915;1912;9;15
19120916;1912;9;16
19120917;1912;9;17
19120918;1912;9;18
19120919;1912;9;19
19120920;1912;9;20
19120921;1912;9;21
19120922;1912;9;22
19120923;1912;9;23
19120924;1912;9;24
19120925;1912;9;25
19120926;1912;9;26
19120927;1912;9;27
19120928;1912;9;28
19120929;1912;9;29
19120930;1912;9;30
19121001;1912;10;1
19121002;1912;10;2
19121003;1912;10;3
19121004;1912;10;4
19121005;1912;10;5
19121006;1912;10;6
19121007;1912;10;7
19121008;1912;10;8
19121009;1912;10;9
19121010;1912;10;10
19121011;1912;10;11
19121012;1912;10;12
19121013;1912;10;13
19121014;1912;10;14
19121015;1912;10;15
19121016;1912;10;16
19121017;1912;10;17
19121018;1912;10;18
19121019;1912;10;19
19121020;1912;10;20
19121021;1912;10;21
19121022;1912;10;22
19121023;1912;10;23
19121024;1912;10;24
19121025;1912;10;25
19121026;1912;10;26
19121027;1912;10;27
19121028;1912;10;28
19121029;1912;10;29
19121030;1912;10;30
19121031;1912;10;31
19121101;1912;11;1
19121102;1912;11;2
19121103;1912;11;3
19121104;1912;11;4
19121105;1912;11;5
19121106;1912;11;6
