sco_cnty	area_name	area_type	cnty_unit	g_unit	page_number	row_number	occup_level	order_number	suborder_number	occupation	m_tot	m_10_13	m_14	m_15	m_16	m_17	m_18_19	m_20_24	m_25_44	m_45_64	m_65_69	m_70_up	m_age_ns	m_at_home	m_employer	m_employee	m_self	m_other	f_tot	f_10_13	f_14	f_15	f_16	f_17	f_18_19	f_20_24	f_25_44	f_45_64	f_65_69	f_70_up	f_age_ns	f_at_home	f_employer	f_employee	f_self	f_other	rec_num
SCOTLAND	TOTAL	Nation		10107260	264	3	3	1	1	"1. Post Office - Officers, Clerks, Telegraphists, Telephone Operators"	3868	1	35	66	56	78	184	478	2152	756	26	36	0						3389	1	7	31	71	127	316	794	1539	438	42	23	0						1
SCOTLAND	TOTAL	Nation		10107260	264	4	3	1	1	"2. Postmen ; Post Office Messengers, &c."	8563	12	508	744	338	263	427	1178	3871	1127	61	34	0						552	0	12	30	30	23	64	93	194	88	13	5	0						2
SCOTLAND	TOTAL	Nation		10107260	264	5	3	1	1	3. Other Civil Service Officers and Clerks	3178	0	2	10	21	29	115	410	1464	1096	17	14	0						117	0	0	0	3	2	12	25	66	9	0	0	0						3
SCOTLAND	TOTAL	Nation		10107260	264	6	3	1	1	"4. Other Civil Service Messengers, &c."	836	0	9	12	4	7	16	35	438	289	13	13	0						134	0	0	2	0	1	1	9	79	37	2	3	0						4
SCOTLAND	TOTAL	Nation		10107260	264	8	3	1	2	5. Police	5797	0	0	1	1	1	52	1071	3497	1138	24	12	0						14	0	0	0	0	0	0	1	3	10	0	0	0						5
SCOTLAND	TOTAL	Nation		10107260	264	9	3	1	2	"6. Municipal, Parish, and other Local or County Officers"	4761	1	12	52	77	86	153	393	2027	1542	202	216	0						726	0	1	3	6	15	30	147	382	116	15	11	0						6
SCOTLAND	TOTAL	Nation		10107260	264	12	3	2	1	7. Army Officers (Effective and Retired)	892	1	0	0	0	1	11	56	478	230	46	69	0																								7
SCOTLAND	TOTAL	Nation		10107260	264	13	3	2	1	8. Soldiers and Non-Commissioned Officers	6052	0	9	21	42	268	1317	1822	2477	88	6	2	0																								8
SCOTLAND	TOTAL	Nation		10107260	264	15	3	2	2	9. Officers of the Navy and Marines (Effective and Retired)	520	0	0	0	0	12	77	77	271	67	7	9	0																								9
SCOTLAND	TOTAL	Nation		10107260	264	16	3	2	2	10. Men of the Navy and Marines	8009	0	0	1	24	248	973	2519	4138	101	3	2	0																								10
SCOTLAND	TOTAL	Nation		10107260	264	19	3	3	1	11. Ministers (Established Church)	1765	0	0	0	0	0	0	10	682	826	104	143	0																								11
SCOTLAND	TOTAL	Nation		10107260	264	20	3	3	1	12. Ministers (United Free Church)	1838	0	0	0	0	0	0	7	717	826	137	151	0																								12
SCOTLAND	TOTAL	Nation		10107260	264	21	3	3	1	13. Episcopalian Clergymen	321	0	0	0	0	0	0	5	139	137	19	21	0																								13
SCOTLAND	TOTAL	Nation		10107260	264	22	3	3	1	14. Roman Catholic Priests	474	0	0	0	0	0	0	2	283	158	16	15	0																								14
SCOTLAND	TOTAL	Nation		10107260	264	23	3	3	1	"15. Ministers, Clergymen of other religious bodies"	707	0	0	0	0	0	0	12	350	263	44	38	0						2	0	0	0	0	0	0	1	1	0	0	0	0						15
SCOTLAND	TOTAL	Nation		10107260	264	24	3	3	1	"16. Missionaries, Scripture Readers, Itinerant Preachers"	912	0	0	0	0	0	0	50	447	312	40	63	0						546	0	0	0	0	0	2	69	306	143	14	12	0						16
