page_number	adm_cnty	lg_area	lg_type	admc_unit	g_unit	unmarried	married	widowed	retired	occ_unmarried	occ_married	occ_widowed	i1vi5	i2iv3	iii3	iii4	iii57	iv1hotel	iv1other	iv3char	iv3laundry	iv23other	v234iii2	vii	x110	xi14	xiii	xv	xvi12	xvi3	xvii12	xviii16	xviii16wool	xviii16cotton	xviii16other	xviii7xix1	xix1tailor	xix1milliner	xix1dress	xix1stay	xix1boot	xix1other	xx1	xx1xxii4	xx4coffee	xx4other	others	prop_unmar	prop_mar	prop_wid	prop_marrwid	prop_dom	rec_num
424	ENGLAND AND WALES	ENGLAND AND WALES	NTOT		10001043	6862025	6630284	1364804	10026379	3739532	680191	411011	39773	61076	83662	187283	51666	63368	1271990	150062	167052	39929	123723	94722	95069	18277	30184	36870	17838	11074	97919	656336				119844	127115	66578	339240	93687	44523	49583	54236	226323	91352	121153	199227	545	103	301	137	159	1
424	ENGLAND AND WALES	AGGREGATE OF URBAN DISTRICTS (inclusive of County Boroughs)	NTOT			5445219	5185595	1093291	7701313	3091123	595367	336302	29784	48448	68610	143357	47275	57248	925313	131032	138813	34835	117513	14440	88767	17671	28736	35001	17151	10006	92401	613204				109296	120747	61246	286006	86595	39384	43424	52004	193177	84571	101693	185044	568	115	308	148	149	2
424	ENGLAND AND WALES	AGGREGATE OF RURAL DISTRICTS	NTOT			1416806	1444689	271513	2325066	648409	84824	74709	9989	12628	15052	43926	4391	6120	346677	19030	28239	5094	6210	80282	6302	606	1448	1869	687	1068	5518	43132				10548	6368	5332	53234	7092	5139	6159	2232	33146	6781	19460	14183	458	59	275	93	195	3
424	BEDFORDSHIRE	BEDFORDSHIRE	CTOT	10173048		38711	36816	7505	53184	21792	5741	2315	147	248	425	1117	258	263	7387	772	1094	146	349	333	126	13	77	50	10	7	833	830				668	122	986	2158	202	67	8412	235	1131	357	572	453	563	156	308	182	161	4
424	BEDFORDSHIRE	Bedford	MB	10173048	10108287	9894	6944	1788	11984	5662	506	474	22	62	140	315	103	167	2758	297	288	46	146	4	15	6	50	6	2	1	30	39				260	60	182	801	45	7	15	5	281	211	134	144	572	73	265	112	310	5
424	BEDFORDSHIRE	Biggleswade	UD	10173048	10153372	959	1011	221	1661	404	74	52	3	13	9	32	5	7	177	9	22	4	7	19	0	1	6	0	1	0	2	0				21	17	13	54	17	0	2	0	39	8	26	16	421	73	235	102	140	6
424	BEDFORDSHIRE	Dunstable	MB	10173048	10042290	1744	1540	343	2090	1183	234	120	4	1	18	49	10	16	203	31	43	8	30	1	2	2	1	5	0	1	347	3				32	0	68	78	6	1	439	3	69	22	23	21	678	152	350	188	103	7
424	BEDFORDSHIRE	Kempston	UD	10173048	10061763	858	981	154	1414	483	56	40	3	17	16	19	4	17	137	22	74	0	10	2	72	0	2	1	1	0	0	20				17	2	5	72	3	0	1	0	32	0	13	17	563	57	260	85	124	8
424	BEDFORDSHIRE	Leighton Buzzard	UD	10173048	10492026	1320	1295	296	2076	682	83	70	9	9	17	35	13	2	325	42	68	5	11	3	0	1	5	0	1	4	5	4				38	9	18	71	9	14	7	2	45	7	27	29	517	64	236	96	196	9
424	BEDFORDSHIRE	Luton	MB	10173048	10133580	10010	9590	1720	10343	6831	3455	691	23	27	78	177	69	19	934	112	197	13	80	2	25	1	7	33	3	1	116	31				191	7	599	354	47	12	6972	200	315	79	117	136	682	360	402	367	83	10
424	BEDFORDSHIRE	Other Urban District	UDA	10173048		415	448	120	666	243	46	28	4	5	5	12	5	2	117	18	17	3	13	1	0	0	0	0	0	0	0	7				10	0	5	29	9	0	32	0	13	4	6	0	586	103	233	130	197	11
424	BEDFORDSHIRE	Rural Districts	RDA	10173048		13511	15007	2863	22950	6304	1287	840	79	114	142	478	49	33	2736	241	385	67	52	301	12	2	6	5	2	0	333	726				99	27	96	699	66	33	944	25	337	26	226	90	467	86	293	119	144	12
424	BERKSHIRE	BERKSHIRE	CTOT	10025084		38234	35662	7458	56140	19973	2889	2352	309	374	569	1377	233	527	12426	651	1873	239	340	406	12	7	88	21	8	2	56	51				517	416	220	1681	159	11	29	38	904	322	719	629	522	81	315	122	278	13
