page_number	adm_cnty	lg_area	lg_type	admc_unit	g_unit	total	retired	occupied	i	ii	iii	iv2	iv13	v134	v2	vi_rail	vi_road	vi_sea	vi_dock	vi_mess	vi_other	vii	ix1_coal	ix1_oth	x3	x1258	x4	x9	x10	xi	xii	xiii	xiv1_brk	xiv1_earth	xv	xvi12	xvii_print	xvii_other	xviii15	xviii15wool	xviii15cotton	xviii15others	xviii6	xix1tailors	xix1boot	xix1others	xviii7	xx	xxii5	others	rec_num
386	ENGLAND AND WALES	ENGLAND AND WALES	NTOT		10001043	13662200	2208535	11453665	248624	205817	367578	226266	161411	302838	360478	397990	471994	132195	135172	223008	39035	1140515	884530	126304	670412	400277	84746	104508	174346	99931	946127	253802	49187	68672	135113	65891	128008	47491	400474				69616	122352	169171	83812	130142	913565	303153	609114	1
386	ENGLAND AND WALES	AGGREGATE OF URBAN DISTRICTS (inclusive of County Boroughs)	NTOT			10544828	1664655	8880173	215920	171087	307619	93048	127451	272048	334667	323534	412818	119122	129514	207355	36904	220939	617272	63783	594562	360444	77452	100740	148890	94538	754047	230302	32324	63269	122099	58152	122377	40803	372919				64932	110690	142214	77458	118927	774367	237626	527960	2
386	ENGLAND AND WALES	AGGREGATE OF RURAL DISTRICTS	NTOT			3117372	543880	2573492	32704	34730	59959	133218	33960	30790	25811	74456	59176	13073	5658	15653	2131	919576	267258	62521	75850	39833	7294	3768	25456	5393	192080	23500	16863	5403	13014	7739	5631	6688	27555				4684	11662	26957	6354	11215	139198	65527	81154	3
386	BEDFORDSHIRE	BEDFORDSHIRE	CTOT	10173048		73877	13040	60837	896	458	1775	1642	720	1058	1171	1716	1921	52	115	1180	54	14455	6	414	4605	547	496	19	1618	326	5622	1192	650	3	220	274	738	181	116				14	514	693	4721	816	5338	1964	2537	4
386	BEDFORDSHIRE	Bedford	MB	10173048	10108287	13989	3071	10918	308	138	617	162	162	352	346	494	373	23	35	433	22	329	3	1	1621	83	341	17	368	104	1048	478	23	0	62	24	138	16	24				5	152	160	70	222	1202	348	614	5
386	BEDFORDSHIRE	Biggleswade	UD	10173048	10153372	2111	347	1764	36	4	47	25	15	31	28	70	69	1	3	39	1	591	0	1	34	5	3	1	125	5	98	23	0	0	6	16	23	0	2				0	26	23	9	25	174	114	91	6
386	BEDFORDSHIRE	Dunstable	MB	10173048	10042290	2909	453	2456	35	6	73	23	19	56	66	45	82	0	7	49	0	194	0	53	261	20	7	0	32	11	269	52	0	0	18	7	267	69	2				0	38	22	143	44	275	103	108	7
386	BEDFORDSHIRE	Kempston	UD	10173048	10061763	2170	464	1706	21	235	29	32	25	12	38	71	66	2	5	43	2	123	0	18	200	37	23	0	65	8	173	15	88	0	3	15	4	0	0				0	13	5	8	9	178	82	58	8
386	BEDFORDSHIRE	Leighton Buzzard	UD	10173048	10492026	2515	488	2027	44	2	73	57	23	48	35	47	110	3	7	63	0	181	0	75	100	15	1	1	101	17	292	84	5	0	13	9	23	3	2				1	31	28	21	42	254	92	124	9
386	BEDFORDSHIRE	Luton	MB	10173048	10133580	18481	2578	15903	190	15	421	120	126	344	505	309	521	11	23	343	23	229	2	2	1839	344	68	0	666	139	1565	324	16	2	90	30	174	54	57				2	133	163	4125	372	1385	443	728	10
386	BEDFORDSHIRE	Other Urban District	UDA	10173048		890	188	702	28	3	27	37	13	19	12	40	45	0	1	15	0	93	0	2	14	0	1	0	11	4	118	11	3	0	1	8	1	0	1				0	11	6	10	14	109	16	28	11
386	BEDFORDSHIRE	Rural Districts	RDA	10173048		30812	5451	25361	234	55	488	1186	337	196	141	640	655	12	34	195	6	12715	1	262	536	43	52	0	250	38	2059	205	515	1	27	165	108	39	28				6	110	286	335	88	1761	766	786	12
386	BERKSHIRE	BERKSHIRE	CTOT	10025084		76645	15689	60956	1502	1426	2369	6347	1840	987	672	1544	2925	181	140	1078	34	15128	6	81	1428	163	230	68	765	212	7330	1021	672	4	168	212	280	170	56				12	480	438	200	550	5474	2723	2040	13
386	BERKSHIRE	Abingdon	MB	10025084	10042306	2534	505	2029	63	8	120	103	32	44	52	29	100	7	8	80	2	185	0	0	40	11	4	2	33	10	249	51	1	0	10	28	20	1	28				0	84	30	12	42	337	107	96	14
386	BERKSHIRE	Maidenhead	MB	10025084	10002084	5741	1112	4629	120	33	247	311	111	157	121	146	277	51	13	139	11	263	0	4	73	33	39	20	91	30	724	106	14	1	32	13	42	42	5				5	47	42	42	78	548	364	234	15
386	BERKSHIRE	Newbury	MB	10025084	10173360	4617	814	3803	102	11	168	167	48	112	63	107	197	14	24	180	0	199	0	3	200	26	16	1	81	37	603	164	18	1	23	23	47	4	6				0	36	49	20	103	537	163	250	16
386	BERKSHIRE	New Windsor	MB	10025084	10108317	5100	727	4373	146	951	247	220	162	96	85	87	220	13	22	127	4	111	2	0	44	10	18	7	91	36	458	56	3	0	20	14	41	3	0				2	93	40	36	70	487	155	196	17
386	BERKSHIRE	Other Urban Districts	UDA	10025084		4025	840	3185	121	24	149	140	41	60	35	55	192	4	13	91	0	311	0	1	161	12	9	2	46	18	571	86	29	0	18	35	34	0	0				0	47	39	26	67	431	147	170	18
386	BERKSHIRE	Rural Districts	RDA	10025084		54628	11691	42937	950	399	1438	5406	1446	518	316	1120	1939	92	60	461	17	14059	4	73	910	71	144	36	423	81	4725	558	607	2	65	99	96	120	17				5	173	238	64	190	3134	1787	1094	19
386	BERKSHIRE	READING	CB	10025084	10153384	28819	4630	24189	559	305	893	430	285	642	1109	1098	1066	72	35	587	41	833	6	18	1032	896	160	15	503	166	2614	723	166	76	140	92	726	52	20				6	335	203	140	363	5800	709	1273	20
386	BUCKINGHAMSHIRE	BUCKINGHAMSHIRE	CTOT	10054825		84810	15041	69769	1176	226	2184	4228	1264	1146	803	2926	2271	180	116	866	42	17116	4	104	1797	280	348	44	3485	302	6573	5364	511	16	312	289	783	744	55				6	433	1743	261	507	5808	3026	2430	21
386	BUCKINGHAMSHIRE	Aylesbury	UD	10054825	10108330	4092	691	3401	118	12	143	41	49	97	61	139	182	13	5	89	4	176	0	1	83	90	22	1	58	17	351	79	23	0	20	7	393	55	6				0	36	29	18	54	515	203	211	22
386	BUCKINGHAMSHIRE	Chepping Wycombe	MB	10054825	10068435	7604	1074	6530	104	8	174	70	42	150	127	107	254	1	10	129	3	176	2	2	115	16	14	0	44	30	507	3062	1	2	35	12	45	117	6				0	39	38	42	84	600	129	233	23
386	BUCKINGHAMSHIRE	Chesham	UD	10054825	10026131	3124	388	2736	44	2	78	32	14	48	43	34	111	0	0	30	0	117	0	0	51	2	3	0	25	54	302	234	4	0	5	15	63	0	8				2	32	779	24	38	234	74	234	24
386	BUCKINGHAMSHIRE	Fenny Stratford	UD	10054825	10135849	2031	353	1678	57	4	45	67	26	29	16	485	46	3	11	23	8	148	0	2	64	2	13	0	50	6	159	42	1	0	5	5	9	7	0				0	6	14	6	22	140	52	105	25
386	BUCKINGHAMSHIRE	Slough	UD	10054825	10002126	5488	1064	4424	112	28	167	135	92	138	124	562	191	9	12	92	5	245	0	6	240	32	78	1	165	30	630	65	41	1	110	10	44	1	1				1	59	56	24	57	423	267	170	26
386	BUCKINGHAMSHIRE	Other Urban Districts	UDA	10054825		8080	2045	6035	168	20	311	317	152	118	104	193	257	49	16	150	5	689	1	6	123	21	31	17	559	35	806	160	10	1	21	51	50	26	1				0	93	69	32	82	756	233	302	27
386	BUCKINGHAMSHIRE	Rural Districts	RDA	10054825		54391	9426	44965	573	152	1266	3566	889	566	328	1406	1230	105	62	353	17	15565	1	87	1121	117	187	25	2584	130	3818	1722	431	12	116	189	179	538	33				3	168	758	115	170	3140	2068	1175	28
386	CAMBRIDGESHIRE	CAMBRIDGESHIRE	CTOT	10025072		49412	8284	41128	789	71	1547	1485	1314	605	548	1342	1505	73	98	788	28	14877	0	67	848	121	128	35	395	297	3943	504	137	6	183	220	566	172	32				3	484	396	149	398	3966	1078	1930	29
386	CAMBRIDGESHIRE	Cambridge	MB	10025072	10201391	14518	2547	11971	320	29	699	198	663	285	279	731	707	23	59	530	23	369	0	17	309	65	69	13	157	142	1644	264	74	4	78	21	336	40	15				2	280	181	99	238	1637	461	910	30
386	CAMBRIDGESHIRE	Chesterton	UD	10025072	10220427	4284	782	3502	139	7	251	68	295	112	104	29	108	25	11	96	3	255	0	12	44	33	26	15	41	98	452	82	22	2	26	7	132	18	4				1	114	52	17	80	406	108	207	31
386	CAMBRIDGESHIRE	Rural Districts	RDA	10025072		30610	4955	25655	330	35	597	1219	356	208	165	582	690	25	28	162	2	14253	0	38	495	23	33	7	197	57	1847	158	41	0	79	192	98	114	13				0	90	163	33	80	1923	509	813	32
386	CHESHIRE	CHESHIRE	CTOT	10152938		254788	40593	214195	3843	456	6554	6898	2278	7929	8623	10228	6138	3931	1235	3159	1303	27654	2630	780	17435	4920	1786	785	2473	966	18045	3112	741	144	9685	1246	1400	728	13627				3647	1627	1953	2594	2186	15127	5745	10584	33
386	CHESHIRE	Altrincham	UD	10152938	10106709	6663	868	5795	122	1	187	266	68	197	232	154	293	17	33	161	12	253	2	4	1185	44	61	0	73	73	840	140	22	3	36	28	54	3	23				21	26	71	36	77	483	150	344	34
386	CHESHIRE	Ashton upon Mersey	UD	10152938	10186821	2644	400	2244	49	0	111	72	17	178	220	58	86	3	6	40	24	228	2	2	136	25	85	1	31	29	209	37	0	4	25	4	25	15	10				19	20	8	17	57	197	26	168	35
386	CHESHIRE	Bollington	UD	10152938	10167139	1958	232	1726	16	0	24	34	5	31	45	24	51	1	3	21	0	66	20	78	44	14	9	0	12	3	92	13	34	0	3	4	9	86	508				238	4	15	8	4	91	50	66	36
386	CHESHIRE	Bredbury and Romiley	UD	10152938	10027482	3366	471	2895	33	2	74	35	14	115	154	173	65	3	2	36	6	166	85	5	418	59	16	0	35	9	170	28	18	0	37	7	30	17	155				183	12	23	377	28	134	33	138	37
386	CHESHIRE	Cheadle and Gatley	UD	10152938	10144164	3639	768	2871	59	2	135	183	94	252	151	85	130	2	3	44	17	295	4	0	81	10	17	0	30	11	235	21	22	0	22	11	20	7	31				252	18	29	29	72	206	83	208	38
386	CHESHIRE	Congleton	MB	10152938	10025333	4025	580	3445	62	0	100	70	28	70	52	68	115	4	6	40	1	219	129	34	113	53	4	0	45	14	286	57	3	23	15	5	25	5	967				57	24	47	28	43	342	120	171	39
386	CHESHIRE	Crewe	MB	10152938	10003349	17888	3036	14852	250	14	245	34	77	184	103	3500	237	5	27	177	30	154	11	6	5185	580	127	1	232	45	1187	170	47	0	45	29	61	7	11				0	140	92	86	101	778	320	554	40
388	CHESHIRE	Dukinfield	MB	10152938	10027512	7267	828	6439	68	2	96	13	45	116	161	206	216	33	6	94	4	58	303	12	858	351	79	2	194	10	357	79	24	0	44	33	22	4	1917				75	16	58	68	23	336	175	281	41
388	CHESHIRE	Ellesmere Port and Whitby	UD	10152938	10492233	4347	559	3788	26	2	40	15	16	25	71	111	57	221	78	200	20	93	2	1	223	1506	17	45	12	4	268	39	40	1	49	2	2	0	0				0	6	17	15	21	265	137	141	42
388	CHESHIRE	Hale	UD	10152938	10027524	2844	426	2418	57	1	161	154	32	252	154	101	62	3	0	41	17	176	3	1	116	17	50	0	23	27	264	48	6	3	33	8	26	5	30				27	16	16	12	59	179	27	211	43
388	CHESHIRE	Hazel Grove and Bramhall	UD	10152938	10137123	3664	635	3029	51	1	106	49	20	216	122	171	87	4	3	45	9	243	166	4	147	12	15	0	16	11	258	59	21	0	38	4	31	20	181				86	31	20	233	54	194	71	230	44
388	CHESHIRE	Hoole	UD	10152938	10003362	2312	478	1834	63	7	71	42	10	82	70	406	74	9	3	42	10	70	6	3	72	28	42	3	22	23	156	30	5	0	17	2	16	6	1				0	31	16	6	36	167	111	76	45
388	CHESHIRE	Hoylake and West Kirby	UD	10152938	10492221	4457	976	3481	96	16	298	130	75	358	174	57	158	44	4	72	19	251	3	2	43	9	25	12	20	39	463	74	3	0	40	9	16	3	8				2	34	31	14	39	420	89	331	46
388	CHESHIRE	Hyde	MB	10152938	10173802	12484	1368	11116	110	8	245	33	77	207	316	287	381	6	15	122	6	160	442	11	1412	125	52	0	112	38	700	191	3	0	138	146	163	106	2207				371	57	103	1013	91	845	297	520	47
388	CHESHIRE	Knutsford	UD	10152938	10153980	2361	394	1967	105	5	92	130	21	84	44	46	109	18	15	35	3	185	18	0	45	11	11	0	21	9	293	59	9	1	19	3	22	12	22				1	27	28	10	17	162	156	119	48
388	CHESHIRE	Lower Bebington	UD	10152938	10109644	4257	688	3569	51	5	111	63	48	106	391	81	114	107	31	80	42	95	0	0	171	27	34	70	10	13	310	96	35	0	742	1	120	32	3				0	5	19	8	14	194	163	177	49
388	CHESHIRE	Macclesfield	MB	10152938	10137135	12671	2243	10428	193	11	319	123	175	269	261	312	363	20	24	159	8	301	14	125	321	55	24	1	78	45	947	194	18	6	50	21	117	97	2833				313	115	231	151	157	978	361	638	50
388	CHESHIRE	Marple	UD	10152938	10220749	2325	341	1984	29	2	80	74	23	91	71	146	47	16	1	19	4	135	26	5	74	18	7	4	14	6	154	17	6	0	12	2	2	11	374				171	7	12	13	21	118	21	151	51
388	CHESHIRE	Nantwich	UD	10152938	10137147	2892	530	2362	55	2	75	61	35	61	59	96	123	4	10	59	2	91	3	2	74	12	5	0	45	9	257	40	12	0	5	60	20	0	17				0	315	189	14	48	261	141	100	52
388	CHESHIRE	Northwich	UD	10152938	10027548	7273	1181	6092	96	5	183	68	29	95	233	286	143	127	18	96	11	128	1	24	704	40	17	123	57	27	646	175	59	2	1507	110	23	2	8				0	42	68	32	72	415	140	280	53
388	CHESHIRE	Runcorn	UD	10152938	10062263	6848	1021	5827	65	0	143	28	26	78	242	98	103	737	295	77	188	70	0	20	440	40	22	175	25	10	438	82	27	10	1124	197	29	4	7				1	22	45	22	56	345	211	325	54
388	CHESHIRE	Sale	UD	10152938	10027550	5374	801	4573	102	4	224	125	50	469	355	164	175	25	14	73	30	394	3	2	249	47	140	2	39	50	501	98	1	6	46	7	47	22	25				13	34	46	45	104	355	87	400	55
388	CHESHIRE	Sandbach	UD	10152938	10153992	2253	401	1852	26	1	54	32	9	30	20	61	56	54	4	23	0	196	2	1	167	53	4	0	163	7	161	37	18	0	223	3	12	1	30				1	23	47	8	17	154	48	106	56
388	CHESHIRE	Stalybridge	MB	10152938	10137093	10083	1049	9034	89	6	162	47	94	152	241	139	377	5	17	107	2	117	40	34	954	822	30	0	40	11	524	107	2	2	58	34	26	30	2806				568	28	79	41	56	570	212	405	57
388	CHESHIRE	Wallasey	MB	10152938	10094148	27302	4813	22489	933	44	1158	95	270	2109	2842	372	776	1363	415	645	610	448	13	14	817	145	197	192	127	190	1915	428	107	6	441	84	317	52	32				10	189	134	119	409	2443	514	1514	58
388	CHESHIRE	Wilmslow	UD	10152938	10109670	2919	416	2503	47	1	111	207	37	187	93	64	97	0	7	53	4	314	2	2	42	11	8	0	28	18	367	34	18	0	23	4	15	2	44				57	19	24	16	43	232	84	188	59
